Cd,4.87,,-0.7,,,,,,3.04,,3.46,,6.5,,2520.0,50.0
106Cd,5.0,2.0,,,0.0,,,,3.1,,0.0,,3.1,2.5,1.0,
108Cd,5.4,,,,0.0,,,,3.7,,0.0,,3.7,,1.1,
110Cd,5.9,,,,0.0,,,,4.4,,0.0,,4.4,,11.0,
111Cd,6.5,,,,,,,,5.3,,0.3,,5.6,,24.0,
112Cd,6.4,,,,0.0,,,,5.1,,0.0,,5.1,,2.2,
113Cd,-8.0,,-5.73,,,,,,12.1,,0.3,,12.4,,20600.0,400.0
114Cd,7.5,,,,0.0,,,,7.1,,0.0,,7.1,,0.34,
116Cd,6.3,,,,0.0,,,,5.0,,0.0,,5.0,,0.075,
In,4.065,,-0.0539,,,,,,2.08,,0.54,,2.62,,193.8,1.5
113In,5.39,,,,0.017,,,,3.65,,3.7e-05,,3.65,,12.0,1.1
115In,4.01,,-0.0562,,-2.1,,,,2.02,,0.55,,2.57,,202.0,2.0
Sn,6.225,,,,,,,,4.871,,0.022,,4.892,,0.626,
112Sn,6.0,1.0,,,0.0,,,,4.5,1.5,0.0,,4.5,1.5,1.0,
114Sn,6.2,,,,0.0,,,,4.8,,0.0,,4.8,,0.114,
115Sn,6.0,1.0,,,,,,,4.5,1.5,0.3,,4.8,1.5,30.0,7.0
116Sn,5.93,,,,0.0,,,,4.42,,0.0,,4.42,,0.14,
117Sn,6.48,,,,,,,,5.28,,0.3,,5.6,,2.3,
118Sn,6.07,,,,0.0,,,,4.63,,0.0,,4.63,,0.22,
119Sn,6.12,,,,,,,,4.71,,0.3,,5.0,,2.2,
120Sn,6.49,,,,0.0,,,,5.29,,0.0,,5.29,,0.14,
122Sn,5.74,,,,0.0,,,,4.14,,0.0,,4.14,,0.18,
124Sn,5.97,,,,0.0,,,,4.48,,0.0,,4.48,,0.133,
Sb,5.57,,,,,,,,3.9,,0.007,,3.9,,4.91,
121Sb,5.71,,,,-0.05,,,,4.1,,0.0003,,4.1,,5.75,
123Sb,5.38,,,,-0.1,,,,3.64,,0.001,,3.64,,3.8,
