# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
140Cs,139.917283707,0.000008801
140Dy,139.95402,0.000430
140Eu,139.928087633,0.000055328
140Gd,139.933674,0.000030000
140Ho,139.968526,0.000537
140I,139.931715914,0.000013000
140La,139.909487285,0.000000651
140Nd,139.90954613,0.000003500
140Pm,139.916035918,0.000026001
140Pr,139.9090856,0.000006593
140Sb,139.952345,0.000644
140Sm,139.918994714,0.000013416
140Sn,139.962973,0.000322
140Tb,139.945805048,0.000859359
140Te,139.939487057,0.000015434
140Xe,139.921645814,0.000002500
141Ba,140.914403653,0.000005709
141Ce,140.908285991,0.000001411
141Cs,140.920045279,0.000009871
141Dy,140.95128,0.000320
141Eu,140.924931734,0.000013568
141Gd,140.932126,0.000021213
141Ho,140.963108,0.000430
141I,140.935666081,0.000017000
141La,140.910971155,0.000004430
141Nd,140.90961669,0.000003417
141Pm,140.913555081,0.000015000
141Pr,140.907659604,0.000001607
141Sb,140.957552,0.000537
141Sm,140.918481545,0.000009162
141Tb,140.941448,0.000113000
141Te,140.945604,0.000429
141Xe,140.926787181,0.000003100
142Ba,141.916432904,0.000006355
142Ce,141.909250208,0.000002623
142Cs,141.924299514,0.000007586
142Dy,141.946194,0.000782
142Er,141.970016,0.000537
142Eu,141.923446719,0.000032268
142Gd,141.928116,0.000030000
142Ho,141.96001,0.000430
142I,141.941166595,0.000005300
142La,141.91409076,0.000006748
142Nd,141.907728824,0.000001348
142Pm,141.912890982,0.000025330
142Pr,141.91005164,0.000001607
142Sb,141.963918,0.000322
142Sm,141.915209415,0.000002002
142Tb,141.939280858,0.000752079
142Te,141.950027,0.000537
142Xe,141.929973095,0.000002900
143Ba,142.920625149,0.000007253
143Ce,142.912391953,0.000002621
143Cs,142.927347346,0.000008130
143Dy,142.943994332,0.000014000
143Er,142.966548,0.000429
143Eu,142.920298678,0.000011793
143Gd,142.926750678,0.000215032
143Ho,142.95486,0.000320
143I,142.945475,0.000215
143La,142.916079482,0.000007868
143Nd,142.909819815,0.000001347
143Pm,142.910938068,0.000003160
143Pr,142.910822624,0.000001949
143Sm,142.914634848,0.000002951
143Tb,142.935137332,0.000055000
143Te,142.956489,0.000537
143Xe,142.93536955,0.000005000
144Ba,143.922954821,0.000007661
144Ce,143.913652763,0.000003041
144Cs,143.932075402,0.000021612
144Dy,143.939269512,0.000007700
144Er,143.9607,0.000210
144Eu,143.918819481,0.000011580
144Gd,143.922963,0.000030000
144Ho,143.952109712,0.000009100
144I,143.951336,0.000429
144La,143.919645589,0.000013888
144Nd,143.910092798,0.000001346
144Pm,143.912596208,0.000003126
144Pr,143.913310682,0.000002907
144Sm,143.912006285,0.000001566
144Tb,143.933045,0.000030000
144Te,143.961116,0.000322
144Tm,143.976211,0.000429
144Xe,143.938945076,0.000005700
145Ba,144.9275184,0.000009100
145Ce,144.917265113,0.000036393
145Cs,144.935528927,0.000009733
145Dy,144.937473992,0.000007000
145Er,144.957874,0.000215
145Eu,144.916272659,0.000003285
145Gd,144.921710051,0.000021165
145Ho,144.947267392,0.000008000
145I,144.955845,0.000537
145La,144.921808065,0.000013170
145Nd,144.912579151,0.000001364
145Pm,144.912755748,0.000003011
145Pr,144.914517987,0.000007674
145Sm,144.913417157,0.000001594
145Tb,144.928717001,0.000119051
145Te,144.967783,0.000322
145Tm,144.970389,0.000210
145Xe,144.944719631,0.000012000
146Ba,145.9303632,0.000001900
146Ce,145.918812294,0.000015743
146Cs,145.940621867,0.000003106
146Dy,145.932844526,0.000007187
146Er,145.952418357,0.000007197
146Eu,145.917210852,0.000006451
146Gd,145.918318513,0.000004376
146Ho,145.944993503,0.000007071
146I,145.961846,0.000322
146La,145.925688017,0.000001797
146Nd,145.913122459,0.000001366
146Pm,145.91470224,0.000004589
146Pr,145.91768763,0.000036882
146Sm,145.913046835,0.000003269
146Tb,145.927252739,0.000048159
146Tm,145.966661,0.000215
